 "x" , "type" , "label" ,
 "http://www.openkg.cn/COVID-19/wiki/class/C0" , "http://www.w3.org/2000/01/rdf-schema#Class" , 免疫 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C1" , "http://www.w3.org/2000/01/rdf-schema#Class" , 植物学名词 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C2" , "http://www.w3.org/2000/01/rdf-schema#Class" , 足癣 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C3" , "http://www.w3.org/2000/01/rdf-schema#Class" , 免疫学 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C4" , "http://www.w3.org/2000/01/rdf-schema#Class" , 香港电影人 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C5" , "http://www.w3.org/2000/01/rdf-schema#Class" , 男装品牌 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C6" , "http://www.w3.org/2000/01/rdf-schema#Class" , 布鲁氏杆菌 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C7" , "http://www.w3.org/2000/01/rdf-schema#Class" , 职业疾病 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C8" , "http://www.w3.org/2000/01/rdf-schema#Class" , 枯草杆菌 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C9" , "http://www.w3.org/2000/01/rdf-schema#Class" , 机率 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C10" , "http://www.w3.org/2000/01/rdf-schema#Class" , 犬病 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C11" , "http://www.w3.org/2000/01/rdf-schema#Class" , 区行政区划 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C12" , "http://www.w3.org/2000/01/rdf-schema#Class" , 激光祛痘 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C13" , "http://www.w3.org/2000/01/rdf-schema#Class" , 俄国君主 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C14" , "http://www.w3.org/2000/01/rdf-schema#Class" , 模式生物 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C15" , "http://www.w3.org/2000/01/rdf-schema#Class" , 拔牙 ,
 "http://www.openkg.cn/COVID-19/wiki/class/C16" , "http://www.w3.org/2000/01/rdf-schema#Class" , 植物形态学 ,
